StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,C2,C3_First Click,C3_Last Click,C3_Page Submit,C3_Click Count,D1_1,W2T_First Click,W2T_Last Click,W2T_Page Submit,W2T_Click Count,W2_1,W2_2,W2_3,W2_4,W2_5,W2_6,W2_7,W2_8,W2_9,W2_10,W2_11,W2_12,W2_13,W2_14,W2_15,W2_16,W2_17,W2_18,W2_19,W2_20,W3T_First Click,W3T_Last Click,W3T_Page Submit,W3T_Click Count,W3_1,W3_2,W3_3,W3_4,W3_5,W3_6,W3_7,W3_8,W3_9,W3_10,W3_11,W3_12,W3_13,W3_14,W3_15,W3_16,W3_17,W3_18,W3_19,W3_20,W4T_First Click,W4T_Last Click,W4T_Page Submit,W4T_Click Count,W4_1,W4_2,W4_3,W4_4,W4_5,W4_6,W4_7,W4_8,W4_9,W4_10,W4_11,W4_12,W4_13,W4_14,W4_15,W4_16,W4_17,W4_18,W4_19,W4_20,W5T_First Click,W5T_Last Click,W5T_Page Submit,W5T_Click Count,W5_1,W5_2,W5_3,W5_4,W5_5,W5_6,W5_7,W5_8,W5_9,W5_10,W5_11,W5_12,W5_13,W5_14,W5_15,W5_16,W5_17,W5_18,W5_19,W5_20,W6T_First Click,W6T_Last Click,W6T_Page Submit,W6T_Click Count,W6_1,W6_2,W6_3,W6_4,W6_5,W6_6,W6_7,W6_8,W6_9,W6_10,W6_11,W6_12,W6_13,W6_14,W6_15,W6_16,W6_17,W6_18,W6_19,W6_20,P1,P2,P2_5_TEXT,P3,P4,D2,D3_1,D4_1,D5,D5_2_TEXT,D6,D6_11_TEXT,D7,D7_17_TEXT,D8,D9,D9_6_TEXT,D10,C7,MTurkCode
2/22/17 20:56,2/22/17 21:08,IP Address,162.230.200.203,100,693,TRUE,2/22/17 21:08,R_1hFiBL8SkmEVBx3,,,,,40.10090637,-83.01409912,anonymous,I understand and agree to proceed,,,,,1981,2.618,2.618,39.79,1,broken,useless,fighting,split,helpful,unhelpful,useful,frustrating,expensive,,,,,,,,,,,,2.397,30.856,101.867,3,bigoted,shitty,homophobic,christian,conservative,stubborn,racist,xenophobic,transphobic,gun obsessed,uncaring,bible thumpers,every man for himself,helpful, kind ,loving,caring,helpful,nice,neighborly,2.432,2.432,42.493,1,kind ,giving,caring,helpful,loves fellow man,tolerant,good,,,,,,,,,,,,,,2.382,2.382,38.912,1,greedy,mean,racist,bigoted,homophobic,misogynist,hates anyone different,conservative,stingy,unhelpful,unkind,bad,,,,,,,,,2.127,2.127,18.834,1,useful,helpful,needed,appreciated,safety net,,,,,,,,,,,,,,,,2. Liberal,Democrat,,6,2,Female,Ohio,Ohio,English,,Atheist,,12th grade no diploma,,No,White,,Both parents born in the U.S.,"Yes, I agree",43
2/22/17 21:02,2/22/17 21:13,IP Address,159.118.118.106,100,705,TRUE,2/22/17 21:13,R_e9cEUr3jEjayppL,,,,,44.08610535,-117.0187988,anonymous,I understand and agree to proceed,,,,,1994,1.894,1.894,133.343,1,corrupt,useless,greedy,dysfunctional,broken,dangerous,omnipotent,dishonest,wrong,bad,terrible,bureaucratic,inefficient,terrorist,,,,,,,1.513,54.671,128.443,5,money,individualism,corporations,greed,xenophobia,hatred,classism,capitalism,fear,racism,antisemitism ,,,,,,,,,,7.713,48.341,112.713,5,useless,corrupt,evil,bought out,liberal,capitalist,shill,liars,,,,,,,,,,,,,1.559,1.559,126.859,1,corrupt,vicious,greedy,soulless,war monger,deceptive,frustrating,white,racist,xenophobic,neoliberal,nazi,misogynistic,evangelistic,,,,,,,1.767,23.526,123.048,7,necessary,broken,inaccessible,inadequate,harsh,unrealistic,,,,,,,,,,,,,,,4. Moderate; middle of the road,Independent,,7. Government should provide many more services,1. Government should see to jobs and standard of living,Male,Oregon,Texas,English,,Spiritual but not religious,,"Bachelor's degree (For example: BA, AB, BS)",,No,White,,Both parents born in the U.S.,"Yes, I agree",51
2/22/17 20:56,2/22/17 21:15,IP Address,73.95.74.44,100,1123,TRUE,2/22/17 21:15,R_pDF2o7b8eGtHUA1,,,,,38.83389282,-104.8214035,anonymous,I understand and agree to proceed,,,,,1988,2.123,2.123,125.879,1,Order,Law,Tax,Structure,Leadership,Community,Country,County,State,Relations,Borders,Politicians,Mayor,Governor,President,Senate,Congress,Prime Minister,Parliament,Relations,2.226,2.226,150.141,1,Freedom,Liberty,Community,Equality,Science,Technology,Religion,Ethic,Melting-Pot,American Dream,Speech,Enterprise,Progress,Constitution,,,,,,,1.682,1.682,235.014,1,Party,Liberal,Healthcare,Taxes,Congress,Senate,Environment,Education,West,Welfare,Blue,Freedom,Progressive,Equality,,,,,,,1.578,10.088,123.096,3,Party,Taxes,Money,Conservative,Congress,Senate,President,Oil,Guns,Old,Red,Midwest,Rich,,,,,,,,1.449,67.23,172.846,2,Equality,Community,Healthcare,Education,Support,Taxes,Charity,Disenfranchised,Balance,Rights,Humanity,Assistance,Less Fortunate,Benevolence,,,,,,,2. Liberal,Democrat,,5,4,Male,Colorado,Florida,English,,Buddhist,,Some college but no degree,,Yes,"White,Other (please specify)",Caribbean and South American Hispanic,One parent born in the U.S.,"Yes, I agree",10
2/22/17 21:15,2/22/17 21:21,IP Address,96.245.21.79,100,346,TRUE,2/22/17 21:21,R_25XFLnZXtrYNHXg,,,,,40.5901947,-75.35469818,anonymous,I understand and agree to proceed,,,,,1974,2.973,2.973,76.891,1,leaders,taxes,taking,giving,congress,laws,lawmakers,gain,argue,differences,,,,,,,,,,,2.346,2.346,41.621,1,liberty,justice ,friendship,camaraderie,great,equality,equal rights,,,,,,,,,,,,,,2.019,2.019,25.22,1,taxes,pro-choice,healthcare,equality,socialist,,,,,,,,,,,,,,,,2.799,2.799,47.365,1,pro life,less taxes,religious,,,,,,,,,,,,,,,,,,2.597,26.074,31.447,2,money,poor,giving,equality,mercy,gain,well-being,,,,,,,,,,,,,,6. Conservative,Republican,,6,3,Female,Pennsylvania,Pennsylvania,English,,Protestant,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",,No,White,,Both parents born in the U.S.,"Yes, I agree",75
2/22/17 21:22,2/22/17 21:34,IP Address,141.219.208.155,100,735,TRUE,2/22/17 21:34,R_3MrnL1ADzDGsOlb,,,,,47.15440369,-88.64710236,anonymous,I understand and agree to proceed,,,,,1995,1.729,1.729,82.487,1,politics,republican,democrat,congress,senate,house,president,secretary of state,federal,state,liberty,white house,Obama,trump,Hillary,Biden,election,voting,people,laws,2.461,123.282,124.474,6,life,house,children,morals,food,burgers,mcdonalds,candy,sports,apple,politics,george washington,laws,freedom,equality,rights,education,liberty,pursuit of happiness,money,1.094,1.094,96.404,1,silly,angry,dumb,blue,california,black people,mexicans,minorities,healthcare,welfare,money,weak,sympathetic,obama,biden,white house,lgbtq,bathrooms,women's rights,abortion,1.582,105.893,106.665,4,religion,abortion,birth control,freedom of speech,freedom of press,dogs,hunters,bigot,mean,rude,uneducated,ignorant,trump,pence,healthcare,red,civil war,slavery,bush,war,1.464,1.464,117.27,1,scary,controversial,confusing,uncomfortable,poor,people,blacks,mexicans,children,mothers,abuse,drugs,food stamps,taxes,house,lazy,sad,family,democrat,republican,4. Moderate; middle of the road,Other party (please specify),libertarian,6,4,Female,Michigan,Michigan,English,,Atheist,,Some college but no degree,,No,White,,Both parents born in the U.S.,"Yes, I agree",20
2/22/17 21:23,2/22/17 21:42,IP Address,73.153.215.93,100,1116,TRUE,2/22/17 21:42,R_1NFDLH3LiTqIPHg,,,,,38.84170532,-104.8332977,anonymous,I understand and agree to proceed,,,,,1972,2.659,171.438,174.829,7,red tape,paperwork ,discuss,politics,policy ,states,institutions ,systems ,dubious,governance,,,,,,,,,,,2.136,55.913,142.438,8,Patriotism ,family ,freedom of speech ,constitution ,national parks ,work ,reward,helping ,donation,sacrifice ,,,,,,,,,,,3.851,3.851,124.165,1,spend,people ,healthcare,people ,support ,money ,programs,sending ,policies ,global ,,,,,,,,,,,2.21,153.835,162.082,5,authority,representative ,fiscal,people ,conservative,control ,house,sovereign,political ,serve,,,,,,,,,,,13.9,28.265,158.58,3,need,help ,conditions ,comfort ,security ,safety ,health ,well-being ,assistance,social security ,benefit,,,,,,,,,,4. Moderate; middle of the road,Independent,,4,5,Female,Colorado,Massachusetts,English,,Other (please specify),Unitarian ,"Bachelor's degree (For example: BA, AB, BS)",,No,White,,Both parents born in the U.S.,"Yes, I agree",35
2/22/17 21:32,2/22/17 21:46,IP Address,74.140.192.17,100,863,TRUE,2/22/17 21:46,R_2uDHGXtavcdC0DP,,,,,39.82699585,-84.01869965,anonymous,I understand and agree to proceed,,,,,1978,1.922,1.922,100.049,1,big,inefficient,wasteful,wide-reaching,busy body,corrupt,red-tape,bureaucratic,expensive,impractical,dishonest,rich,elite,career,manipulative,older,greedy,destructive,dangerous,,1.648,95.59,107.873,4,patriotic,independent,free,hard-working,home-ownership,family,grilling,holidays,religion,prosperity,thoughtful,different,desirable,unique,sassy,strong,travel,interstates,parks,,1.703,130.73,131.591,7,naive,Dunning-Kruger,unintelligent,crazy,manipulated,impressed,foolish,childish,young,arrogant,conceited,entitled,intolerant,bratty,kids,unrealistic,,,,,1.915,121.997,122.972,5,older,wiser,realistic,well-read,intelligent,smart,frugal,responsible,mature,educated,hard-working,serious,practical,ethical,moral,adult,family,patriotic,just,,29.508,119.286,123.861,5,dependent,repetitive,trap,dirty ,children,cheaters,poor,cycle,hopeless,helpless,enabled,entitled,abused,fraud,baby daddies,absent fathers,uneducated,ignorant,inbred,slums,7. Extremely conservative,Republican,,1. Government should provide many fewer services,7. Government should let each person get ahead on their own,Female,Ohio,Ohio,English,,Protestant,,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",,No,White,,Both parents born in the U.S.,"Yes, I agree",35
2/22/17 21:40,2/22/17 21:50,IP Address,136.63.92.248,100,561,TRUE,2/22/17 21:50,R_3kt80LqpuqDykgR,,,,,38.914505,-94.30059814,anonymous,I understand and agree to proceed,,,,,1972,2.821,48.355,95.941,2,corrupt,watchdogs,too big,Washington,money,scam,do not listen,red tape,bureaucracy,governor,mayor,president ,vice president,representative,congress,laws,executive order,out of touch,electoral college,voter fraud,2.287,2.287,82.63,1,pride,religion,country,made in the usa,patriotism,family,church,picnics,baseball,apple pie,Thanksgiving,Christmas,Santa Claus,July 4th,fireworks,hard work,equality,freedom,capitalism,speech,1.743,70.082,110.665,2,liberal,blue,california,clinton,bernie,sanders,fair,equal,world government,washington,lots of government,programs,taxes,universal,healthcare,ACA,Obama,Biden,moderate,abortion,2.134,2.134,74.96,1,conservative,Trump,Pence,red,elephant,washington,less government,rich,wealthy,gold,unequal,biased,unfair,pro life,reagan,federal reserve,banks,slush funds,mismanagement,veto,2.108,2.108,80.458,1,poor,unlucky,assistance,government,corrupt,food,liquor,lottery tickets,broke,paycheck,monthly,food stamps,lies,tricks,scams,bread,milk,cheese,jewelry,south,3. Slightly liberal,Democrat,,4,7. Government should let each person get ahead on their own,Male,Missouri,Missouri,English,,Catholic,,Some college but no degree,,No,White,,Both parents born in the U.S.,"Yes, I agree",66
2/22/17 21:43,2/22/17 21:53,IP Address,104.238.32.14,100,567,TRUE,2/22/17 21:53,R_6JxPeBCGrotO3hD,,,,,38.72590637,-75.1678009,anonymous,I understand and agree to proceed,,,,,1979,2.285,106.308,106.659,2,Power,Above,politics,supreme,higher,chaos,ruler,administration,service,management,,,,,,,,,,,5.588,76.863,119.291,7,Equality,Change,Environmentalist,Individualism,Materialism,Competition,Mobility,Voluntarism,,,,,,,,,,,,,61.513,61.513,106.137,1,Comrade,Peace,Harmony,Unity,Freedom,Self-confidence,Self-worth,Oriented,Organized,,,,,,,,,,,,14.53,66.889,67.292,3,republic,favorable,party,government,politics,systematic,,,,,,,,,,,,,,,24.839,47.5,91.223,5,Good,Health,Wealth,Prosperity,Happiness,Organization,Group,Financial,well-being,aid,,,,,,,,,,,4. Moderate; middle of the road,Republican,,4,4,Female,California,California,English,,Catholic,,Some college but no degree,,No,American Indian or Alaska Native,,Both parents born in the U.S.,"Yes, I agree",71
2/22/17 21:46,2/22/17 22:00,IP Address,98.201.32.229,100,792,TRUE,2/22/17 22:00,R_1P5h6qquJaaadrA,,,,,29.77090454,-94.90709686,anonymous,I understand and agree to proceed,,,,,1983,8.175,105.583,122.598,15,corrupt,unfair,stupid,smothering,crooked,greedy,liars,cheaters,in debt,large,loud,biased,incompetent,slow,,,,,,,2.264,83.707,127.44,12,strong,just,right,patriotic,good,family,wholesome,proud,leaders,powerful,free,brave,,,,,,,,,1.798,106.573,126.057,12,dumb,needy,whiny,dense,hippie,complainers,babies,stupid,unsafe,ignorant,loud,greedy,,,,,,,,,1.948,110.372,123.403,16,strong,firm,right,proud,logical,better,secure,patriotic,morals,values,competent,government,freedom,just,,,,,,,2.343,95.497,123.501,18,terrible,Band-Aid,poor,disgusting,lazy,handouts,freebies,blacks,illegitimate,ghetto,slums,crutch,unfair,bad,flawed,,,,,,6. Conservative,Republican,,1. Government should provide many fewer services,7. Government should let each person get ahead on their own,Female,Texas,Massachusetts,English,,Atheist,,"Bachelor's degree (For example: BA, AB, BS)",,Yes,White,,Both parents born in the U.S.,"Yes, I agree",86
2/22/17 22:39,2/22/17 22:50,IP Address,73.116.15.95,100,636,TRUE,2/22/17 22:50,R_d0boLyyK4QOTmNP,,,,,38.69320679,-121.3115997,anonymous,I understand and agree to proceed,,,,,1951,2.525,74.485,84.121,21,republic,president,vote,congress,election,federal,state,local,democracy,constitution,monarchy,dictator,taxes,representation,mayor,senator,governor,supreme court,ballot,libertarian,3.307,76.421,88,21,patriotism,freedom,democracy,liberty,tradition,family,religion,God,Christian,independent,just,fair,loving,welcoming,tolerant,great,inclusive,inviting,business,guardians,2.648,120.97,125.621,26,control,liberal,socialist,immoral,protestors,inflammatory,tolerant,judgmental,millennials,whiners,anarchists,activist,environmental,welfare,anti-business,labor,federal,sue,aclu,,2.809,109.021,120.035,22,moral,conservative,right,business,war,defense,election,president,good,red,majority,lead,president,loyal,religious,ethical,independent,free,valued,liberty,2.693,119.694,124.002,23,poor,needy,liberal,uneducated,hopeless,downtrodden,democrat,charity,handout,hungry,homeless,drugs,despair,lost,dispirited,lonely,burdensome,alms,hard-up,unemployed,7. Extremely conservative,Republican,,3,6,Male,California,California,English,,Other (please specify),LDS,Associate degree in college -- Academic program,,No,White,,Both parents born in the U.S.,"Yes, I agree",91
